"Enhancer","Marker","File#","\|E\|","\|D\|","\|M\|","\|TP\|","Specificity","Sensitivity"
"D2 (cjD2)","Adora2a","1","59","950","293","17","0.9361","0.0580"
"D2 (cjD2)","Adora2a","2","113","2447","668","15","0.9449","0.0225"
"D2 (cjD2)","Drd2","1","50","2834","1739","10","0.9635","0.0058"
"D2 (cjD2)","Drd2","2","287","2976","871","65","0.8945","0.0746"
"D2 (mmD2)","Adora2a","1","67","950","293","19","0.9269","0.0165"
"D2 (mmD2)","Adora2a","2","75","2447","668","11","0.9640","0.0648"
"D2 (mmD2)","Drd2","1","166","2834","1739","54","0.8977","0.0311"
"D2 (mmD2)","Drd2","2","238","2976","871","62","0.9164","0.0712"
"DA (DAE4)","antiTH","1","433","3960","855","151","0.9092","0.0330"
"DA (DAE4)","antiTH","2","94","3424","181","25","0.9787","0.0783"
"DA (DAE4)","antiTH","3","225","4506","266","32","0.9545","0.0820"
"DA (DAE4)","antiTH","4","47","4738","356","20","0.9938","0.0242"
"DA (DAE4)","DAT","1","31","9293","369","21","0.9989","0.0569"
"DA (DAE4)","DAT","2","53","8123","472","38","0.9980","0.0805"
"DA (DAE4)","DAT","3","204","8054","663","97","0.9855","0.1463"
"DA (DAE4)","DAT","4","121","8252","657","88","0.9957","0.1339"
"DA (DAE8)","antiTH","1","101","3960","855","64","0.9881","0.0749"
"DA (DAE8)","antiTH","2","62","3424","181","21","0.9874","0.1160"
"DA (DAE8)","antiTH","3","100","4506","266","30","0.9835","0.1128"
"DA (DAE8)","antiTH","4","80","4738","356","33","0.9893","0.0927"
"DA (DAE8)","DAT","1","32","9293","369","15","0.9981","0.0407"
"DA (DAE8)","DAT","2","68","8123","472","41","0.9965","0.0869"
"DA (DAE8)","DAT","3","411","8054","663","103","0.9583","0.1554"
"DA (DAE8)","DAT","4","153","8252","657","107","0.9939","0.1629"
"FOXP2_RORB ( FOXP2_RORB_E4)","antiRORB","1","318","6666","3322","167","0.9548","0.0503"
"FOXP2_RORB ( FOXP2_RORB_E4)","antiRORB","2","528","14178","6067","210","0.9608","0.0346"
"FOXP2_RORB ( FOXP2_RORB_E4)","antiRORB","3","378","12376","3079","119","0.9721","0.0386"
"FOXP2_RORB ( FOXP2_RORB_E4)","antiFOXP2","1","38","4155","1864","31","0.9969","0.0166"
"FOXP2_RORB ( FOXP2_RORB_E4)","antiFOXP2","2","234","14026","6546","168","0.9912","0.0257"
"FOXP2_RORB ( FOXP2_RORB_E4)","antiFOXP2","3","1114","15539","5118","499","0.9410","0.0975"
"FOXP2_RORB ( FOXP2_RORB_E9)","antiRORB","1","766","6666","3322","221","0.8370","0.0665"
"FOXP2_RORB ( FOXP2_RORB_E9)","antiRORB","2","294","14178","6067","70","0.9724","0.0115"
