Enhancer,Marker,Sample#,Thumbnail,\|E\|,\|D\|,\|M\|,\|TP\|,Specificity,Sensitivity,Composite Images
D2 (cjD2),Adora2a,1,19EBuSC5rRBeaXCKLrqHraHGMwu4OOWel,59,950,293,17,0.9361,0.058,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGLij5E5XWwNUAyMUA1aTlg/D2/ISH_Adora2a?dl=0&e=1&preview=cjKatrin_Drd2Marm_Plate1D1_ADORA2A647_DAPI_20x_060824.tif&rlkey=azzm86dlj60kc7ztq8xek9096&st=c16gs5th&subfolder_nav_tracking=1
D2 (cjD2),Adora2a,2,1Rvv7NxvcqBOP6jZt1CZMrn3uKeu61oQp,113,2447,668,15,0.9449,0.0225,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGLij5E5XWwNUAyMUA1aTlg/D2/ISH_Adora2a?dl=0&preview=cjKatrin_Drd2Marm_Plate3B1_ADORA2A647_DAPI_20x_071524_Cycle.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
D2 (cjD2),Drd2,1,1U_4b7i61RYMe7_8wWKYXoOT7RRDLVWg6,50,2834,1739,10,0.9635,0.0058,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AHgw5rTLWT5TVeodZlqfAmM/D2/ISH_Drd2?dl=0&preview=Stitch_cjKatrin_Drd2Marm_PlateEvenB3_aRFP555_Drd2647_DAPI_20x_071524_Cycle.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
D2 (cjD2),Drd2,2,170yeHuteWo-Rf4QfSkkvjda5RGliyQQo,287,2976,871,65,0.8945,0.0746,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AHgw5rTLWT5TVeodZlqfAmM/D2/ISH_Drd2?dl=0&preview=Stitch_cjKatrin_Drd2Marm_PlateEvenC3_aGFP488_Drd2647_DAPI_20x_071524_Cycle.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
D2 (mmD2),Adora2a,1,1hc0_7voeWx4BGGncdhE6fds1DOYtQrMz,67,950,293,19,0.9269,0.0165,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGLij5E5XWwNUAyMUA1aTlg/D2/ISH_Adora2a?dl=0&e=1&preview=cjKatrin_Drd2Marm_Plate1D1_ADORA2A647_DAPI_20x_060824.tif&rlkey=azzm86dlj60kc7ztq8xek9096&st=c16gs5th&subfolder_nav_tracking=1
D2 (mmD2),Adora2a,2,1bryA61fGV8hICNDVs9Y2FoA0PVDUsfOs,75,2447,668,11,0.964,0.0648,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGLij5E5XWwNUAyMUA1aTlg/D2/ISH_Adora2a?dl=0&preview=cjKatrin_Drd2Marm_Plate3B1_ADORA2A647_DAPI_20x_071524_Cycle.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
D2 (mmD2),Drd2,1,1y3JrXDjF89RPLJZuDwyokodpXxaUhx2E,166,2834,1739,54,0.8977,0.0311,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AHgw5rTLWT5TVeodZlqfAmM/D2/ISH_Drd2?dl=0&preview=Stitch_cjKatrin_Drd2Marm_PlateEvenB3_aRFP555_Drd2647_DAPI_20x_071524_Cycle.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
D2 (mmD2),Drd2,2,1NclGHyTliLIYKW64GiRkd5Vi0lUoBdvN,238,2976,871,62,0.9164,0.0712,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AHgw5rTLWT5TVeodZlqfAmM/D2/ISH_Drd2?dl=0&preview=Stitch_cjKatrin_Drd2Marm_PlateEvenC3_aGFP488_Drd2647_DAPI_20x_071524_Cycle.tif&rlkey=azzm86dlj60kc7ztq8xek9096&subfolder_nav_tracking=1
DA (DAE4),antiTH,1,1BzmaUT9rRql9VBvw7PcGJjSf2fNzQ32u,433,3960,855,151,0.9092,0.033,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AG05ohJymJuW_5eNZn884nQ/DA/DA_E4-GFP_E8-RFP/antiTH?dl=0&e=1&preview=cjFlorian_FLM-WA1-S2_Nissl-405_cjDAE4-488_cjDAE8-555_aTH-647.tif&rlkey=azzm86dlj60kc7ztq8xek9096
DA (DAE4),antiTH,2,1Pu1AzhPcihr9sxmSYZsiaGuet6nDaKF-,94,3424,181,25,0.9787,0.0783,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AG05ohJymJuW_5eNZn884nQ/DA/DA_E4-GFP_E8-RFP/antiTH?dl=0&e=1&preview=cjFlorian_FLM-WC1-S1_Nissl-405_cjDAE4-488_cjDAE8-555_aTH-647.tif&rlkey=azzm86dlj60kc7ztq8xek9096
